PlayerName,Pos,Age,MP,OWS,DWS,OBPM,DBPM
Maurice Harkless,SF,26,286,0.3,0.2,-3.1,-0.3
Jared Harper,PG,22,8,0,0,-10.2,-5.7
Montrezl Harrell,C,26,1749,4.5,2.5,2.4,0.5
Gary Harris,SG,25,1780,0.5,1.7,-2.8,0.4
Joe Harris,SF,28,1946,2.1,1.7,0,-0.5
Tobias Harris,PF,27,2243,3,2.6,1,-0.4
Shaquille Harrison,SF,26,484,0.8,0.8,0.4,2.4
Josh Hart,SF,24,1563,1,1.7,-1.2,0.6
Isaiah Hartenstein,C,21,266,0.7,0.4,-0.9,1.3
Udonis Haslem,PF,39,21,0,0,-9.7,-3
Jaxson Hayes,C,19,951,2.5,1,-0.8,0.8
Gordon Hayward,SF,29,1501,3.1,1.9,2.6,0.3
John Henson,PF,29,600,0.6,0.8,-1.1,2.1
John Henson,PF,29,412,0.4,0.5,-1.1,2.3
John Henson,PF,29,188,0.2,0.2,-1.1,1.7
Dewan Hernandez,C,23,11,0,0,-18.3,-3
Juan Hernangómez,PF,24,833,0.2,0.7,-2.2,-1.1
Juan Hernangómez,PF,24,422,-0.2,0.4,-4,-1.1
Juan Hernangómez,PF,24,411,0.5,0.4,-0.4,-1
Willy Hernangómez,C,25,375,0.4,0.4,0.6,-0.5
Tyler Herro,SG,20,1280,-0.3,1.1,-1,-1.3
Kevin Hervey,PF,23,19,-0.2,0,-13.4,-6.5
Mario Hezonja,PF,24,767,0.1,0.6,-3.1,0.2
Buddy Hield,SG,27,2045,1.6,1.5,2.6,-1.3
George Hill,PG,33,1103,3.2,1.9,1.8,1.4
Solomon Hill,SF,28,992,0.4,0.9,-1.9,0.2
Solomon Hill,SF,28,901,0.5,0.8,-1.6,0.2
Solomon Hill,SF,28,91,-0.1,0.1,-4.5,0.8
Jaylen Hoard,SF,20,103,0.1,0.1,-0.9,-1.1
Aaron Holiday,PG,23,1368,0.4,1.4,-1.4,-0.3
Jrue Holiday,SG,29,1922,2.1,1.8,1.9,0.3
Justin Holiday,SG,30,1617,1.7,2.2,0,1.7
Rondae Hollis-Jefferson,SF,25,998,1.4,1.8,-1.1,1.5
Richaun Holmes,C,26,1125,3.2,1.5,0.6,0.9
Rodney Hood,SF,27,619,0.9,0.2,-0.4,-0.5
Al Horford,C,33,1848,2.5,2.5,1.1,1.1
Talen Horton-Tucker,SG,19,5,0,0,0.6,7.2
Danuel House,SF,26,1739,1.9,1.6,-0.6,0.1
Dwight Howard,C,34,1193,2.6,2.4,-0.8,1.4
William Howard,SG,26,13,-0.1,0,-14.9,-5.7
Kevin Huerter,SG,21,1760,1,0.6,-0.6,-0.9
De'Andre Hunter,SF,22,2018,-0.4,0.5,-2.8,-1.8
Chandler Hutchison,SF,23,527,0,0.7,-2.7,0.1
Serge Ibaka,C,30,1377,1.5,2.4,0.5,-0.1
Andre Iguodala,SG,36,259,0,0.4,-2.5,1.9
Ersan ?lyasova,PF,32,895,1.5,1.9,-0.2,0.8
Joe Ingles,SF,32,1916,2.4,2,0,0.7
Brandon Ingram,PF,22,1919,3.2,1.7,2.7,-0.3
Kyrie Irving,PG,27,658,2.1,0.8,6.6,1
Jonathan Isaac,SF,22,949,0.4,1.9,-0.8,2.9
Wesley Iwundu,SF,25,810,0.6,0.8,-3.1,0.2
Frank Jackson,PG,21,656,-0.4,0.3,-4,-2
Jaren Jackson Jr.,C,20,1512,1.5,1.7,0.2,0
Josh Jackson,SG,22,357,0,0.4,-1.1,1.2
Justin Jackson,PF,24,929,0.7,0.6,-1.7,-1.2
Reggie Jackson,PG,29,556,0.6,0.3,1.8,-1.3
Reggie Jackson,PG,29,381,0.3,0.1,1.7,-2.2
Reggie Jackson,PG,29,175,0.3,0.2,2.1,0.6
Justin James,SG,23,218,0,0.2,-1,0.2
LeBron James,PG,35,2094,6.1,3.4,6.8,1.9
Amile Jefferson,PF,26,74,0,0.1,-4.9,-1
DaQuan Jeffries,SG,22,19,0,0,-2.3,-0.3
Ty Jerome,PG,22,315,-0.3,0.3,-3.9,0
Alize Johnson,SF,23,54,0,0.1,-3.2,-1.6
B.J. Johnson,SF,24,46,-0.2,0,-7.2,-2.5
Cameron Johnson,PF,23,996,1.1,0.7,0.5,-0.7
James Johnson,PF,32,619,0.4,0.8,-1.1,1.1
James Johnson,PF,32,281,0,0.4,-2.6,0.7
James Johnson,PF,32,338,0.3,0.4,0.2,1.5
Keldon Johnson,SF,20,92,0.2,0.1,-0.3,-0.6
Stanley Johnson,PF,23,96,-0.3,0.2,-7.9,1.4
Tyler Johnson,SG,27,515,-0.2,0.3,-3,-0.7
Nikola Joki?,C,24,2101,6,3.2,5.4,2.3
Damian Jones,C,24,887,2.2,0.6,-1.6,0.1
Derrick Jones Jr.,SF,22,1249,2.3,1.6,-0.4,1.1
Tyus Jones,PG,23,1232,2,1,0.4,0.1
DeAndre Jordan,C,31,1234,3,2.3,1.1,1.8
Cory Joseph,PG,28,1538,1.1,1,-2.1,0.3
Mfiondu Kabengele,C,22,64,0.1,0.1,2.2,-0.1
Frank Kaminsky,C,26,718,0.8,0.6,0.2,-0.3
Enes Kanter,C,27,891,2.1,1.7,1.6,-0.1
Luke Kennard,SG,23,922,1.6,0.3,1.1,-1.4
Stanton Kidd,SF,27,15,-0.1,0,-15.6,-1.3
Michael Kidd-Gilchrist,PF-SF,26,231,-0.3,0.2,-6.6,-0.9
Michael Kidd-Gilchrist,PF,26,160,-0.2,0.1,-5.3,-1.6
Michael Kidd-Gilchrist,SF,26,71,-0.2,0.1,-9.7,0.8
Louis King,SF,20,62,-0.1,0,-5.1,-1.1
Maxi Kleber,C,28,1695,2.9,1.7,0.5,0.2
Brandon Knight,PG,28,462,-0.2,0.1,-1.8,-2.7
Brandon Knight,PG,28,241,-0.3,0,-3.9,-2.8
Brandon Knight,PG,28,221,0.1,0.1,0.5,-2.5
Kevin Knox,SF,20,1166,-0.5,0.7,-3.1,-1.1
John Konchar,SG,23,167,0.5,0.2,2.7,2.2
Furkan Korkmaz,SG,22,1398,1,1.3,-0.6,-0.9
Luke Kornet,C,24,559,0.5,0.5,-0.9,-0.2
Kyle Korver,SF,38,833,0.8,1.4,-0.5,0.7
Rodions Kurucs,PF,21,501,-0.1,0.6,-3.9,0.9
Kyle Kuzma,PF,24,1327,-0.2,1.6,-2.2,-1.3
Skal Labissière,C,23,567,1,0.4,-1.5,0.3
Jeremy Lamb,SG,27,1291,0.9,1.8,-1.1,0.7
Romeo Langford,SG,20,298,-0.1,0.3,-4.5,-0.1
Zach LaVine,SG,24,2085,1.8,2.2,3.3,-0.8
Vic Law,SF,24,9,-0.1,0,-17,-8.2
Jake Layman,PF,25,505,0,0.3,-2.7,-1
T.J. Leaf,PF,22,193,0,0.3,-1.4,-0.1
Jalen Lecque,PG,19,26,0,0,-5.7,-3.6
Courtney Lee,SG,34,345,0.3,0.4,-2.1,1.6
Damion Lee,SG,27,1423,0.9,0.8,-1.5,-0.8
Alex Len,C,26,895,1.4,0.9,-0.2,-0.2
Alex Len,C,26,745,1.1,0.6,-0.2,-0.3
Alex Len,C,26,150,0.3,0.2,-0.7,0.1
Kawhi Leonard,SF,28,1643,4.6,3,6.5,2.5
Meyers Leonard,C,27,987,1,1.1,-1,0.4
Caris LeVert,SG,25,1131,-0.1,1.2,0.1,-0.7
Damian Lillard,PG,29,2140,8.9,0.7,7.9,-0.7
Nassir Little,PF,19,573,0.3,0.3,-2.9,-0.6
Kevon Looney,C,23,262,-0.2,0.2,-4.8,-0.8
Brook Lopez,C,31,1622,0.8,3.9,-1.1,2.8
Robin Lopez,C,31,862,0.2,1.5,-2.4,0.5
Kevin Love,PF,31,1780,2.5,1.2,2.6,-0.6
Kyle Lowry,PG,33,1901,4.1,2.8,2.5,0.7
Timothé Luwawu-Cabarrot,SG,24,671,0.4,0.6,-3,-0.2
Trey Lyles,PF,24,1271,1.2,1,-0.5,-0.7
Daryl Macon,SG,24,14,0,0,-7,-4.4
J.P. Macura,SG,24,1,0,0,-5.1,-1.2
Josh Magette,PG,30,38,-0.2,0.1,-8,1.6
Ian Mahinmi,C,33,808,0.7,0.7,-2.7,0
Thon Maker,C,22,776,0.7,0.8,-2,0.7
Terance Mann,SG,23,271,0,0.3,-4.7,1.2
Boban Marjanovi?,C,31,337,0.8,0.5,1.7,-1.7
Lauri Markkanen,PF,22,1492,1.1,1.6,0.2,-0.8
Caleb Martin,SF,24,317,0.3,0.2,-1.6,0.5
Cody Martin,SF,24,903,0.2,0.8,-3.1,1
Jeremiah Martin,PG,23,16,0,0,-6.6,3.6
Kelan Martin,SF,24,495,-0.1,0.3,-3.3,-1
Frank Mason III,PG,25,53,-0.2,0.1,-7.5,-0.9
Garrison Mathews,SG,23,227,0.6,0,-0.5,-0.6
Wesley Matthews,SG,33,1529,0.8,2.4,-2.5,0.8
Patrick McCaw,SF,24,908,0.2,1.2,-3.6,1.8
CJ McCollum,SG,28,2229,3.1,0.6,2.5,-1.7
T.J. McConnell,PG,27,1188,1.6,1.4,0.1,0.2
Jalen McDaniels,PF,22,293,0.2,0.2,-3.3,0
Doug McDermott,PF,28,1242,2.1,0.9,1.5,-1.5
JaVale McGee,C,32,1023,2.2,2.3,-0.3,2.3
Rodney McGruder,SG,28,749,-0.1,1,-3.8,0.8
Alfonzo McKinnie,SF,27,593,-0.2,0.3,-4.4,-0.9
Jordan McLaughlin,PG,23,590,1.2,0.4,0.4,-0.1
Ben McLemore,SG,26,1437,2.1,0.9,0,-0.7
Jordan McRae,SG,28,784,0.4,0.3,0,-1.6
Jordan McRae,SG,28,654,0.4,0.2,0.8,-1.3
Jordan McRae,SG,28,32,0.1,0,1,1.4
Jordan McRae,SG,28,98,-0.1,0,-5.6,-4.2
Nicolò Melli,C,29,889,1,0.8,-0.9,0.3
De'Anthony Melton,PG,21,1011,0.4,1.4,-1.6,1.8
Chimezie Metu,PF,22,73,0.2,0.1,3.8,-0.8
Khris Middleton,SF,28,1653,4.3,3.1,3.4,0.9
Eric Mika,PF,25,19,0.1,0,-2.2,-0.9
C.J. Miles,SG,32,161,0,0.1,-1.8,0
Malcolm Miller,SF,26,125,-0.1,0.2,-4.3,1.4
Patty Mills,PG,31,1430,2.1,0.5,1.1,-1.2
Paul Millsap,PF,34,1075,2,1.4,0.6,0
Shake Milton,SG,23,611,1.1,0.6,0.3,-0.6
Donovan Mitchell,SG,23,2165,3,2.2,2.4,-0.5
Naz Mitrou-Long,SG,26,43,0,0,-1.9,2.4
Adam Mokoka,SG,21,112,0.1,0.1,-3.1,-1
Malik Monk,SG,21,1169,0.1,0.6,-1,-1.3
Matt Mooney,SG,22,19,0,0,-5.3,5
E'Twaun Moore,SG,30,958,0.2,0.6,-2,-1
Ja Morant,PG,20,1771,2.2,1.2,1.6,-1.3
Juwan Morgan,PF,22,74,0,0.1,-2.9,-0.4
Marcus Morris,SF-PF,30,1727,2,1.2,0.9,-0.8
Marcus Morris,SF,30,1387,2.2,0.8,1.9,-1.1
Marcus Morris,PF,30,340,-0.2,0.4,-3.1,0.5
Markieff Morris,PF,30,1106,0.4,0.8,-1.2,-0.9
Markieff Morris,PF,30,988,0.3,0.7,-1,-1
Markieff Morris,PF,30,118,0.1,0.2,-2.5,0.1
Monte Morris,PG,24,1402,2.2,1.2,0.2,-0.1
Johnathan Motley,PF,24,41,0.2,0.1,4.8,3.3
Emmanuel Mudiay,PG,23,752,0.3,0.8,-1.2,0.1
Mychal Mulder,SG,25,204,0.1,0,-3.3,-2.9
Dejounte Murray,PG,23,1447,0.9,1.7,-0.5,1.5
Jamal Murray,PG,22,1804,2.5,1.6,1.8,-0.7
Džanan Musa,SF,20,404,-0.4,0.4,-4.1,-0.7
Mike Muscala,C,28,492,0.5,0.5,-0.1,-0.1
Sviatoslav Mykhailiuk,SF,22,1265,1,0.6,-0.7,-1.2
Abdel Nader,SF,26,756,0.4,0.7,-1.1,0.2
Larry Nance Jr.,C,27,1472,2.8,1.1,1.4,0.3
Shabazz Napier,PG,28,1234,1.1,0.8,-0.3,-0.2
Shabazz Napier,PG,28,856,0.6,0.6,-0.5,-0.2
Shabazz Napier,PG,28,378,0.4,0.2,0.2,-0.2
Raul Neto,PG,27,565,0.2,0.6,-1.8,-0.1
Malik Newman,SG,22,4,0,0,-14.5,-11.3
Georges Niang,PF,26,772,1,0.7,0.9,-0.4
Nerlens Noel,C,25,1014,2.7,2.1,0.5,3.4
Zach Norvell,SG,22,41,-0.1,0,-7.1,-1.2
Zach Norvell,SG,22,5,0,0,-10.2,-2.4
Zach Norvell,SG,22,36,-0.1,0,-6.7,-1.1
Jaylen Nowell,SG,20,151,0.1,0,-2.9,-0.8
Frank Ntilikina,PG,21,1187,0.1,0.8,-3.6,0.4
Kendrick Nunn,SG,24,1846,1,1.4,-0.7,-1.3
David Nwaba,SF,27,268,0.4,0.4,-1.1,2
Royce O'Neale,PF,26,1862,1.8,2.2,-1.3,2.1
Kyle O'Quinn,C,29,258,0.3,0.5,-0.7,2.2
Semi Ojeleye,PF,25,891,0.8,0.9,-2.1,0.5
Jahlil Okafor,C,24,424,0.7,0.4,-0.8,0.6
Elie Okobo,PG,22,707,0.4,0.5,-2,-0.1
Josh Okogie,SG,21,1547,1,1.2,-2.4,0
KZ Okpala,SF,20,26,0,0,-1.2,4
Victor Oladipo,SG,27,337,-0.3,0.4,-1.7,-1.3
Kelly Olynyk,C,28,1089,1.7,1.5,0.1,1
Miye Oni,SG,22,11,-0.1,0,-12.7,-4.6
Cedi Osman,SF,24,1910,1.1,0.5,-1.6,-0.9
Kelly Oubre Jr.,SF,24,1933,1.7,1.9,-0.3,-0.4
Tariq Owens,PF,24,15,0,0,-3.1,-2.8
Jeremy Pargo,PG,33,44,0,0,-2.8,-3.1
Jabari Parker,PF,24,852,0.5,0.7,0.2,-0.4
Jabari Parker,PF,24,837,0.5,0.7,0.4,-0.3
Jabari Parker,PF,24,15,0,0,-6.9,-3.4
Chandler Parsons,SF,31,54,-0.1,0,-4.7,-1.3
Eric Paschall,PF,23,1654,1.6,0.5,-0.7,-2
Anžejs Pase??iks,C,24,405,0.3,0.2,-3.8,-1.6
Patrick Patterson,PF,30,607,0.9,0.6,0.9,-0.5
Justin Patton,C,22,24,0,0,-6.9,-3.3
Chris Paul,PG,34,2003,5.5,2.5,3.1,1.2
Elfrid Payton,PG,25,1246,0.5,1.2,-0.3,0.3
Gary Payton II,PG,27,432,0.1,0.4,-3.1,1.5
Norvel Pelle,C,26,178,-0.1,0.4,-7.1,3.1
Theo Pinson,SG,24,365,-1,0.5,-6.9,-0.2
Mason Plumlee,C,29,900,1.7,1.3,0.2,2
Vincent Poirier,C,26,114,0.1,0.2,-4.5,0.7
Jakob Pöltl,C,24,965,2,1.3,0.8,2.3
Shamorie Ponds,PG,21,11,0.1,0,8.4,5.3
Jordan Poole,SG,20,1274,-1.6,0.4,-4.4,-2.2
Kevin Porter Jr.,SF,19,1162,-0.3,0.6,-3.2,-0.6
Michael Porter Jr.,PF,21,670,1,0.9,1.4,-0.7
Otto Porter,SF,26,331,0.4,0.4,0.9,0.2
Bobby Portis,C,24,1393,0.9,1,0.1,-1.1
Kristaps Porzi??is,PF,24,1597,1.7,2.6,1.2,0.3
Dwight Powell,C,28,1061,2.6,1.1,0.4,1
Norman Powell,SG,26,1269,2.2,1.9,1.4,0.9
Chasson Randle,PG,26,40,0,0,-5.9,0.1
Julius Randle,PF,25,2080,1,1.7,0.7,-1
Josh Reaves,SG,22,1,0,0,-24.4,-15.1
Cam Reddish,SF,20,1551,-1.2,0.8,-3.2,-1
J.J. Redick,SG,35,1425,3.2,0.6,2,-1.6
Naz Reid,C,20,495,0.2,0.6,-1.6,-0.3
Josh Richardson,SG,26,1474,0.3,1.6,-1.5,-0.2
Austin Rivers,SG,27,1402,1.3,1,-1.9,-0.4
Duncan Robinson,SF,25,1949,3.2,1.5,1.2,-0.9
Glenn Robinson III,SF,26,1743,2,0.8,-0.5,-1.1
Glenn Robinson III,SF,26,1516,1.5,0.6,-0.5,-1.2
Glenn Robinson III,SF,26,227,0.5,0.2,-0.2,-0.9
